TokenKind: <ID> | Value: <'using'> | Line: <1>, Col: <0>
TokenKind: <ID> | Value: <'System'> | Line: <1>, Col: <6>
TokenKind: <ID> | Value: <'using'> | Line: <2>, Col: <0>
TokenKind: <ID> | Value: <'System'> | Line: <2>, Col: <6>
TokenKind: <ID> | Value: <'Collections'> | Line: <2>, Col: <13>
TokenKind: <ID> | Value: <'Generic'> | Line: <2>, Col: <25>
TokenKind: <ID> | Value: <'using'> | Line: <3>, Col: <0>
TokenKind: <ID> | Value: <'System'> | Line: <3>, Col: <6>
TokenKind: <ID> | Value: <'Text'> | Line: <3>, Col: <13>
TokenKind: <ID> | Value: <'namespace'> | Line: <5>, Col: <0>
TokenKind: <ID> | Value: <'Lexer'> | Line: <5>, Col: <10>
TokenKind: <FIGURE_BRACKET_OPEN> | Value: <'{'> | Line: <6>, Col: <0>
TokenKind: <ACCESS_LEVEL_PUBLIC> | Value: <'public'> | Line: <7>, Col: <4>
TokenKind: <CLASS> | Value: <'class'> | Line: <7>, Col: <11>
TokenKind: <ID> | Value: <'Test'> | Line: <7>, Col: <17>
TokenKind: <FIGURE_BRACKET_OPEN> | Value: <'{'> | Line: <8>, Col: <4>
TokenKind: <STRING> | Value: <'string'> | Line: <9>, Col: <8>
TokenKind: <ID> | Value: <'j'> | Line: <9>, Col: <15>
TokenKind: <ASSIGNMENT> | Value: <'='> | Line: <9>, Col: <17>
TokenKind: <STRING_CONST> | Value: <'3'> | Line: <9>, Col: <19>
TokenKind: <SEMICOLON> | Value: <';'> | Line: <9>, Col: <22>
TokenKind: <INTEGER> | Value: <'int'> | Line: <10>, Col: <8>
TokenKind: <ID> | Value: <'a'> | Line: <10>, Col: <12>
TokenKind: <ASSIGNMENT> | Value: <'='> | Line: <10>, Col: <14>
TokenKind: <INTEGER_NUM> | Value: <' '> | Line: <10>, Col: <16>
TokenKind: <CHAR> | Value: <'char'> | Line: <11>, Col: <8>
TokenKind: <ID> | Value: <'b'> | Line: <11>, Col: <13>
TokenKind: <ASSIGNMENT> | Value: <'='> | Line: <11>, Col: <15>
TokenKind: <ERROR> | Value: <'''> | Line: <11>, Col: <17>
TokenKind: <INTEGER_NUM> | Value: <'''> | Line: <11>, Col: <18>
TokenKind: <SEMICOLON> | Value: <';'> | Line: <11>, Col: <20>
TokenKind: <FLOAT> | Value: <'float'> | Line: <12>, Col: <8>
TokenKind: <ID> | Value: <'c'> | Line: <12>, Col: <14>
TokenKind: <ASSIGNMENT> | Value: <'='> | Line: <12>, Col: <16>
TokenKind: <DOUBLE_NUM> | Value: <' '> | Line: <12>, Col: <18>
